7|Mythic tables not included: replace me in (mythic_focus.txt)
28|Mythic tables not included: replace me in (mythic_focus.txt)
35|Mythic tables not included: replace me in (mythic_focus.txt)
45|Mythic tables not included: replace me in (mythic_focus.txt)
52|Mythic tables not included: replace me in (mythic_focus.txt)
55|Mythic tables not included: replace me in (mythic_focus.txt)
67|Mythic tables not included: replace me in (mythic_focus.txt)
75|Mythic tables not included: replace me in (mythic_focus.txt)
83|Mythic tables not included: replace me in (mythic_focus.txt)
92|Mythic tables not included: replace me in (mythic_focus.txt)
100|Mythic tables not included: replace me in (mythic_focus.txt)
